City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,saint-joseph,-21.3667,55.6167,294.36,85,25,4.76,RE,1691006487
144,hepingjie,42.0597,126.9158,291.48,97,88,2.53,CN,1691006487
145,haradok,55.4624,29.9816,290.41,91,100,1.19,BY,1691006487
146,naze,28.3667,129.4833,299.66,90,100,12.62,JP,1691006488
147,constantia,44.1833,28.65,298.54,78,45,6.84,RO,1691006489
148,gadzhiyevo,69.2551,33.3362,291.16,67,15,3.73,RU,1691006489
149,coahuayana de hidalgo,18.7,-103.6583,306.48,57,95,2.87,MX,1691006490
150,richards bay,-28.783,32.0377,288.45,75,0,2.74,ZA,1691006490
151,oriximina,-1.7656,-55.8661,307.7,39,29,2.74,BR,1691006490
152,flin flon,54.7682,-101.865,294.06,60,75,6.17,CA,1691006491
153,gaiman,-43.2897,-65.4929,285.26,22,0,13.31,AR,1691006491
154,bousso,10.4795,16.7117,296.91,85,75,0.5,TD,1691006492
155,forde,61.4522,5.8572,291.56,88,0,2.06,NO,1691006492
156,mlimba,-8.8,35.8167,295.25,68,91,1.23,TZ,1691006492
157,byala slatina,43.4667,23.9333,298.93,56,4,1.02,BG,1691006493
158,hasaki,35.7333,140.8333,299.43,90,0,5.61,JP,1691006494
159,yantarnyy,54.8717,19.9381,291.34,70,86,5.7,RU,1691006494
160,kavaratti,10.5669,72.642,301.55,76,100,7.51,IN,1691006494
161,chibougamau,49.9168,-74.3659,294.94,37,75,4.63,CA,1691006495
162,al kut,32.5147,45.819,313.4,11,0,6.62,IQ,1691006495
163,nova sintra,14.8667,-24.7167,296.49,81,7,3.19,CV,1691006496
164,wynyard,-41.0,145.7167,283.36,91,42,3.06,AU,1691006496
165,udhampur,32.9333,75.1333,297.9,80,1,3.03,IN,1691006497
166,cockburn town,21.4612,-71.1419,302.08,78,100,3.6,TC,1691006461
167,forster,-32.1667,152.5167,284.37,88,11,2.54,AU,1691006497
168,atherton,53.5237,-2.4935,289.65,86,100,0.89,GB,1691006498
169,opuwo,-18.0607,13.84,290.31,14,5,3.03,NA,1691006498
170,masterton,-40.9597,175.6575,276.97,95,100,4.66,NZ,1691006498
171,debre tabor,11.85,38.0167,284.87,94,98,0.23,ET,1691006499
172,san antonio de pale,-1.4014,5.6325,295.41,77,72,4.14,GQ,1691006482
173,quezon,7.7303,125.0989,295.04,96,99,0.33,PH,1691006499
174,saurimo,-9.6608,20.3916,293.17,28,26,1.75,AO,1691006500
175,kapa'a,22.0752,-159.319,300.43,81,21,3.13,US,1691006500
